lat,lon,name,state,usaf,CommonName
33.938,-118.389,LOS ANGELES INTERNATIONAL AIR,CA,722950,Los Angeles
40.639,-73.764,JOHN F KENNEDY INTERNATIONAL,NY,744860,New York
19.719,-155.053,HILO INTERNATIONAL AIRPORT,HI,912850,Hilo
41.96,-87.932,CHICAGO O'HARE INTERNATIONAL,IL,725300,Chicago
42.361000000000004,-71.01,GEN E L LOGAN INTERNATIONAL A,MA,725090,Boston
33.428000000000004,-112.00399999999999,PHOENIX SKY HARBOR INTL AIRPO,AZ,722780,Phoenix
25.788,-80.317,MIAMI INTERNATIONAL AIRPORT,FL,722020,Miami
49.193999999999996,-123.184,VANCOUVER INTL,,718920,Vancouver
21.324,-157.929,HONOLULU INTERNATIONAL AIRPOR,HI,911820,Honolulu
61.169,-150.028,TED STEVENS ANCHORAGE INTL,AK,702730,Anchorage
42.375,-122.87700000000001,ROGUE VALLEY INTL-MEDFORD AIR,OR,725970,Oregon
